SRR,Herbarium,Voucher Identifier,Location,Approximate Latitude,Approximate Longitude,Invaded,Collection Year,Specimen Comments,total number of reads (flagstat),number mapped (transcriptome),% mapped,% duplicate,total number (genomic reference),number mapped (genomic reference),% mapped (genomic reference),% duplicate (genomic reference),Specimen Link
SRR29127730,FLAS,Hubbard 461,Florida,29.1853333,-82,Y,2006,,13772342,3394762,24.65,0.143749,15098640,14459752,95.77,0.083821,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372274&clid=0
SRR29127794,FLAS,Burkhalter 5663,Florida,30.636586,-87.275449,Y,1977,"Coords are approximate, based on locality description: 0.2 mi east of Parker Rd, Cottage Hill, Escambia County ",13283141,2835995,21.35,0.077772,13770787,12963241,94.14,0.018393,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373261&clid=0
SRR29127750,NLU,Damuth 1,Texas,30.557634,-94.179513,Y,1987,"Coords are approximate, based on locality description: 1.6 mi south of Fred, TX on hwy 92",13049199,2935876,22.5,0.142614,13975824,13249134,94.8,0.09144,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854350&clid=0
SRR29127798,BRIT,Peck 03133,Arkansas,33.881844,-92.303347,Y,2003,"Coords are approximate, based on locality description: Crossroads Rd in Cleveland County, AR",12898583,2601803,20.17,0.091402,13568405,12466524,91.88,0.049279,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2838771&clid=0
SRR29127751,NLU,Thomas 118150,Mississippi,31.234854,-91.334751,Y,1990,"Coords are approximate, based on locality description: 2.6 mi south of Dolosoro, MS",12487650,2493545,19.97,0.101206,13134163,12277727,93.48,0.048854,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854366&clid=0
SRR29127788,UC,Suzuki 452003,Japan,35.688382,139.539503,N,1951,"Coords are center of Jindi, Japan",12239910,2234326,18.25,0.088188,12479405,9926400,79.54,0.024794,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513148&clid=0
SRR29127753,BRIT,Blacklock 258,Arkansas,33.73,-94.27,Y,2003,"Coords are approximate, based on locality description: Winthrop, AR",12214041,2490238,20.39,0.094472,12870606,11887928,92.36,0.050911,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2840466&clid=0
SRR29127749,NLU,Bruce 49,Arkansas,30.499856,-93.311978,Y,1985,"Coords are approximate, based on locality description: 0.25 mi north of dead end of Guillott Road, north of LA12, Beauregard",12158756,2552798,21,0.075725,12889107,12132469,94.13,0.023032,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854217&clid=0
SRR29127746,NLU,Thomas 152283,Louisiana,30.792376,-89.821913,Y,1996,"Coords are approximate, based on locality description: Bogalusa, LA, near I10 bridge",11972893,2210502,18.46,0.462028,12574382,10358616,82.38,0.367856,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854235&clid=0
SRR29127783,UC,PhilNatHerb 1707,Philippines,17.568406,120.809942,N,1946,Coords are center of Abra Province,11801664,2624847,22.24,0.080696,12058646,11207740,92.94,0.017802,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2820102&clid=0
SRR29127731,VDB,Bryson 25438,Alabama,30.892145,-87.792427,Y,2017,,11713089,2142140,18.29,0.359506,12741541,11270421,88.45,0.248806,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=3710033&clid=0
SRR29127776,UC,Zogg 6029,Taiwan,25.086706,121.617331,N,1982,Coords are for Shi-Tsu,11178015,2687973,24.05,0.066055,11893000,10810282,90.9,0.022202,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513135&clid=0
SRR29127775,UC,Huang 6916,Taiwan,22.6743,121.498204,N,1973,"Coords are approximate, based on locality description: Green Island, Taiwan",11157496,2831203,25.37,0.081316,11540509,10807638,93.65,0.019136,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513111&clid=0
SRR29127793,FLAS,Diddell 309,Florida,N/A,N/A,Y,1940,"This plant was cultviated, exclude from GEA",10593820,2527295,23.86,0.158437,10699192,9216268,86.14,0.028739,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373776&clid=0
SRR29127772,UC,Mousset s.n.,Indonesia,,,N,1909,I think this is the right specimen ,9576995,1943473,20.29,0.057015,9824182,8520799,86.73,0.019262,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2818069&clid=0
SRR29127771,UC,van der Warff 171331,Vietnam,21.37472,106.37611,N,2002,,8655597,1756670,20.3,0.058135,8888973,7600062,85.5,0.022463,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513212&clid=0
SRR29127754,VDB,Ray 8386,Mississippi,31.583192,-89.873614,Y,1957,"Coords are approximate, based on locality description: just south of Prentiss, MS",8630782,1593325,18.46,0.331603,8977657,8019776,89.33,0.273415,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=889563&clid=0
SRR29127764,UC,Hiroe 12148,Japan,35.026972,135.787253,N,1956,"Coords are approximate, based on locality description: Mt. Yoshida in Kyoto City",8400561,1755450,20.9,0.117336,8562140,7533769,87.99,0.047596,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513129&clid=0
SRR29127766,UC,Tsang 28023,China,,,N,1966,,8375449,1587667,18.96,0.087154,8469175,6505518,76.81,0.029925,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1712886&clid=0
SRR29127773,UC,Moupet s.n.,Indonesia,,,N,1905,I can't find this specimen,8365260,1848993,22.1,0.064185,8632767,7757227,89.86,0.020767,
SRR29127742,BRIT,Hill 30003,Louisiana,30.88,-91.35,Y,1998,"Coords are approximate, based on locality description: South of Wakefield near firetower and adjacent to church ",8250552,1418652,17.19,0.335816,8674061,7018855,80.92,0.269266,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2840093&clid=0
SRR29127747,NLU,Thomas 40364,Louisiana,30.815682,-90.429222,Y,1974,"Coords are approximate, based on locality description: NW of LA 1054 on sandbar",7187496,1496111,20.82,0.091205,7488557,7026192,93.83,0.044964,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854247&clid=0
SRR29127799,BRIT,Correll 13330,Texas,30.095444,-93.834431,Y,1946,"Coords are approximate, based on locality description: 1 mi west of Orange, TX ",6566995,982095,14.96,0.073607,6640631,5204909,78.38,0.032294,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=290748&clid=0
SRR29127781,UC,Santos 5181,Philippines,13.503771,120.951624,N,1952,,5802886,1022642,17.62,0.351953,5979248,4267869,71.38,0.299331,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513240&clid=0
SRR29127768,BRIT,Deramus 487,Mississippi,30.525499,-88.679634,Y,1965,"Coords are approximate, based on locality description: near Bluff Creek, Vancleave, Miss",5669301,991466,17.49,0.241018,5858037,5050797,86.22,0.184277,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2160880&clid=0
SRR29127778,UC,Wagner Jr 3589,Philippines,,,N,1945,,5375540,1142749,21.26,0.479244,5696627,5415807,95.07,0.361079,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513244&clid=0
SRR29127765,UC,Cavalerie 71,China,N/A,N/A,N,1909,Can't determine location,4889455,800084,16.36,0.21517,5000423,3411220,68.22,0.092441,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513154&clid=0
