Ind,Collection.Year,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
SRR29127728,2000,19.7583335439364,11.7833334207535,38.1337661749457,678.410024110936,33.7999992370605,2.90000009536743,30.8999991416931,27.1333335240682,23.2333337465922,27.6166671117147,11.3000002702077,1206.40003299713,336.200012207031,8.10000038146973,84.3351425421855,600.000022888184,164.200002670288,362.200012207031,202.100006103516
SRR29127732,1992,22.3916669289271,9.68333331743876,41.2056753634328,459.682847362858,33.2999992370605,9.80000019073486,23.4999990463257,27.8166666030884,17.7333337465922,27.8333333333333,16.7000002861023,1197.60001564026,249.400009155273,21.8000011444092,68.2560526699295,560.100006103516,132.500001907349,522.900009155273,141.900003433228
SRR29127779,1977,18.4791672329108,12.5750005841255,33.179419730469,864.700351573358,34.4000015258789,-3.5,37.9000015258789,14.9833335081736,24.1000008583069,27.8666677474976,7.00000003973643,1039.30001449585,140.900009155273,46.6000022888184,34.9929111234217,315.700008392334,203.800003051758,260.100002288818,243.499996185303
SRR29127748,2002,19.2333337366581,11.333333671093,37.1584684385533,736.136528600089,33.6000022888184,3.10000014305115,30.5000021457672,20.0333336989085,23.5166668891907,27.4833339055379,9.91666702429453,1597.30003356934,261.300018310547,79.3000030517578,40.4984798395797,597.800018310547,268.600006103516,354.100006103516,350.099998474121
SRR29127760,1976,18.945833692948,11.1250002980232,37.332212838105,643.617132957615,32.6000022888184,2.79999995231628,29.8000023365021,23.0500003496806,17.2166670163472,26.5000006357829,10.5666669607162,1605.6000213623,239.5,25.7000007629395,50.0288089525573,564.800018310547,172.100006103516,439.200004577637,369.099998474121
SRR29127753,2003,17.0000002955397,12.4000002990166,34.2541421712724,820.828327683733,34.1000022888184,-2.10000014305115,36.2000024318695,21.4166669845581,5.93333330750465,26.5000009536743,5.93333330750465,864.500005245209,150,7.59999990463257,54.0715040789826,305.200000762939,157.200002193451,279.000003814697,157.200002193451
SRR29127749,1985,19.9583336959283,10.5833332439264,33.3859101154589,731.644589814479,33.2999992370605,1.60000002384186,31.6999992132187,25.1500002543132,21.0500000317891,27.5833339691162,9.01666690905889,1624.80004501343,386.800018310547,40.7999992370605,65.1435256472415,737.70002746582,235.100002288818,397.500015258789,364.000007629395
SRR29127731,2017,20.7625001470248,10.3916663726171,40.1222638392028,537.773716160721,32.5,6.59999990463257,25.9000000953674,27.1333335240682,21.100000222524,27.1333335240682,14.283333381017,2074.20003700256,440.600006103516,14.1000003814697,71.0400929850734,954.100021362305,261.800004959106,954.100021362305,355.500001907349
SRR29127794,1977,18.9583337207635,12.0500005284945,34.8265888190091,743.712557553481,33.6000022888184,-1,34.6000022888184,26.716667175293,23.2333339055379,27.1666673024495,9.00000011920929,1392.00002288818,189.400009155273,52.5,42.2786518575811,518.600006103516,187,389.899997711182,296.700004577637
SRR29127752,2009,20.6333335638046,12.3166670004527,39.3503729640914,682.939283451831,35.7000007629395,4.40000009536743,31.300000667572,20.600000222524,14.7500000794729,29.1500002543132,12.2333334287008,1275.80001449585,279.399993896484,17.8999996185303,78.32281352064,528.400001525879,158.200006484985,172.200002670288,180.60000038147
