Ind,Herbarium,Voucher Identifier,Location,Approx. Latitude,Approx. Longitude,Invaded,Collection Year,Temporal_Group,Specimen Comments,total # bases ,Specimen Link
SRR29127742,BRIT,Hill 30003,Louisiana,30.88,-91.35,Y,1998,mid invasion,"Coords are approximate, based on locality description: South of Wakefield near firetower and adjacent to church ",1369492990,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2840093&clid=0
SRR29127764,UC,Hiroe 12148,Japan,35.065466,135.831003,N,1956,native,"Coords are approximate, based on locality description: Mt. Yoshida in Kyoto City",1323837234,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513129&clid=0
SRR29127786,UC,Hireo 16338,Japan,34.901932,135.676223,N,1963,native,"Coords are approximate, based on locality description: Mt. Tenno, Japan",2489429186,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513138&clid=0
SRR29127775,UC,Huang 6916,Taiwan,22.6743,121.498204,N,1973,native,"Coords are approximate, based on locality description: Green Island, Taiwan",1683513798,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513111&clid=0
SRR29127730,FLAS,Hubbard 461,Florida,29.216667,-82.056034,Y,2006,late invasion,,2070987046,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372274&clid=0
SRR29127739,NLU,Joye 386,Georgia,31.21652,-83.274219,Y,1981,mid invasion,"Coords are approximate, based on locality description: W of Nashville along Withlacoochee River on Ga. 125",2586128982,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854372&clid=0
SRR29127736,FLAS,Judd 8010,Florida,29.632251,-82.369117,Y,2001,late invasion,"Coords are approximate, based on locality description: NATL on UF campus",3014916736,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373593&clid=0
SRR29127791,FLAS,Judd 8010,Florida,29.632251,-82.369117,Y,2001,late invasion,"Coords are approximate, based on locality description: NATL on UF campus",3774678068,
SRR29127762,VDB,Keener 3265,Alabama,33.119545,-87.664796,Y,2006,late invasion,,8822780208,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2933052&clid=0
SRR29127727,FLAS,Koch 91,Florida,29.959467,-82.953583,Y,2007,late invasion,,3425364332,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372882&clid=0
SRR29127759,VDB,Leonard 7937,Florida,29.004619,-82.613812,Y,1982,mid invasion,"Coords are approximate, based on locality description: N of Rt. 476 and opposite quarry entrance that is 0.7 mi. E on Rt. 476 from Rt. 491",5665426984,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=887477&clid=0
SRR29127755,VDB,MacDonald 10945,Mississippi,33.264338,-89.150031,Y,1997,mid invasion,"Coords are approximate, based on locality description: 0.7 miles SW of Choctaw Lake, Tombigbee National Forest",7579480032,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=889141&clid=0
SRR29127789,UC,Miyoshi s.n.,China,35.607404,140.106536,N,1956,native,Can't determine location,2718143148,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513167&clid=0
SRR29127773,UC,Moupet s.n.,Indonesia,-8.045151,112.915299,N,1905,native,I can't find this specimen,1269633066,
SRR29127772,UC,Mousset s.n.,Indonesia,,,N,1909,native,I think this is the right specimen ,1449651038,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2818069&clid=0
SRR29127734,USCH,Nelson 30222,South Carolina,33.0618,-81.5672,Y,2012,late invasion,,4787432048,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4309129&clid=0
SRR29127735,USCH,Nelson 31410,South Carolina,33.1972,-79.5106,Y,2012,late invasion,,4354343512,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4309142&clid=0
